Scenario,Requirement,Requirement Type,Author
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,"Collection and analysis of environmental data (for example temperature, humidity, air pollution)",Functional,Human
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,"Monitoring, analyzing traffic flow and providing guidance suggestions to reduce traffic congestion",Functional,Human
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,"In case of emergency, sending instant notifications through fire detection sensors",Functional,Human
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,"For parking space management, identifying empty parking spaces and providing users to users",Functional,Human
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,Automatically adjusting lighting and electrical use to optimize energy consumption,Functional,Human
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,Monitoring air quality and warning the people's potential health risks,Functional,Human
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,"Using sensor data for water and waste management, ensuring efficient use of resources",Functional,Human
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,Monitoring and referring to passenger density to increase the efficiency of public transport systems,Functional,Human
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,"In emergencies, offering earthquake forecasts and warnings through seismic sensors",Functional,Human
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,Application is integrated with CCTV cameras and security sensors for urban security and automatically detecting events,Functional,Human
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,Compliance with high safety standards and ensuring data privacy,Nonfunctional,Human
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,"User interface, easy to comply with easy accessibility and usability standards",Nonfunctional,Human
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,"System, high accessibility and uninterrupted service to be redundant and scalable",Nonfunctional,Human
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,The response times of the application are optimized to meet real -time data processing requirements,Nonfunctional,Human
The Internet of Objects (IoT) Based Application for Smart City Infrastructure,Using a standard communication protocol for all sensors to transmit data in harmony,Nonfunctional,Human
